symbol,name,exchange
^NQDMEU3300LMEUR,NASDAQ DM Europe Auto & Parts L,
^NQG3300AUDN,NASDAQ Global Auto & Parts AUD,
^NQEMMEA8500AUD,NASDAQ EM MEA Ins AUD Index,
AEXSH.NX,,
^NQNA8300JPYT,NASDAQ N America Banks JPY TR I,
^NQLALCCADT,NASDAQ Lat America Large Cap CA,
4MW2.DE,INAVISHSTXEU50UJPY,GER
^NQNA8500T,The NASDAQ North America Insura,
^SP500-25102010,S&P 500 Automobile Manufacturer,SNP
SFR15Y.SW,SBI For AAA-BBB 15+ Y,EBS
^NQLA8300LMGBP,NASDAQ Lat America Banks Lg Md,
WIAMERS2710.L,,
^NQTW0001AUDT,NASDAQ Taiwan Oil & Gas AUD TR,
NZREG.NZ,S&P/NZX ALL REAL ESTATE (INDUST,NZE
LZPL.DE,INAV DB X-T D600 HC,GER
^NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AU,
^NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg,
23576012.SG,,
^DWMFCGT,^DWMFCGT,DJI
^NQLA3500CADN,NASDAQ Lat America Food & Bever,
^NQUSM2737AUDN,NQ US Md Cap Elec Eqpt AUD NTR,
537A.DE,,
AW12.FGI,FTSE All World Index - Europe e,FGI
^NQASPA1300T,The NASDAQ ASPA Chemicals Index,
^NQDMASPA3000EURN,NASDAQ DM ASPA Cnsmr Goods EUR,
DK71.DE,IN.IS.MSCI JAP.CHF HD.YN,GER
SFA05D.SW,SBI For AAA-A 10-15 D,EBS
^NQAUSCAUDT,NASDAQ Australia Small Cap AUD,
26773612.SG,,
^BKCSW,BNY Mellon Sweden Classic ADR I,SNP
^NQMY1000AUDN,NASDAQ Malaysia Basic Matls AUD,
^NQASIA0001LMAUDN,NASDAQ Asia Oil & Gas Large Mid,
5EDJ.DE,IN.IS.MSCI POLAND USD,GER
^BKFRT,BNY Mellon France ADR Total Ret,SNP
^NQHUAUDN,NASDAQ Hungary AUD NTR Index,
^NQLA8600LMCADN,NASDAQ Lat Am Real Estate Lg Md,
^NQEMASIASCEURT,NASDAQ EM Asia Small Cap EUR TR,
^NQHK5000AUD,NASDAQ Hong Kong Cnsmr Svcs AUD,
SXW9.Z,,
^NQDMASPASCAUDN,NASDAQ DM ASPA Small Cap AUD NT,
^NQUSB8530AUDT,NQ US Bnchmk Nonlife Ins AUD TR,
^NQASPAXJPJPYN,NASDAQ ASPA Ex Japan JPY NTR In,
N8WZ.DE,DAXGLOBAL ASIA PR.GBP,GER
4MU3.DE,INAVISEUCORBDLCUCHF,GER
^NQASPA5300LMJPYN,NASDAQ ASPA Retail Large Mid Ca,
^INDIA15,India Total Return ADR/GDR 15 I,SNP
INUS7.NX,,
D4OF.DE,INAVISHEUGBD1-3YRGB,GER
^NQAU5000CADT,NASDAQ Australia Cnsmr Svcs CAD,
V1I5.DE,,
RTXNRGEUR.VI,,
^NQIN8000AUDT,NASDAQ India Financials AUD TR,
^BCOMAL3,BBG Alumin-F3,WCB
SAN71Y.SW,SBI Dom Non-Gov AAA-AA 7-10 Y,EBS
STA05P.SW,SBI AAA-A 10-15 P,EBS
DV2E.DE,,
^A1SUSETR,Dow Jones Sustainability North,DJI
^NQAU9000N,The NASDAQ Australia Technology,
^NQNA2300N,The NASDAQ North America Constr,
^NQEMMEA4000AUDN,NASDAQ EM MEA Health Care AUD N,
^NQASPA3000AUDT,NASDAQ ASPA Cnsmr Goods AUD TR,
^NQZASCZARN,NASDAQ South Africa Small Cap Z,
^NQDMASPA7000N,The NASDAQ DM ASPA Utilities In,
SAA10Y.SW,SBI AAA-AA 10+ Y,EBS
^NQUSM2000AUD,NQ US Md Cap Inds AUD Index,
SBIGD7.SW,SBI Dom Gov 7+ D,EBS
^NQNA8000EURN,NASDAQ N America Financials EUR,
^NQDMASIA8600LMT,NASDAQ DM Asia Real Estate Larg,
SBIGT1.SW,SBI Dom Gov 1-3 T,EBS
^NQHK3000AUDN,NASDAQ Hong Kong Cnsmr Goods AU,
D8AF.DE,,
2742.DE,INAVISIBSE18USDCGBP,GER
^BKCPTTR,BNY Mellon Portugal Classic ADR,SNP
UDYQ.DE,UDYQ.DE,GER
4NAN.DE,DAXSUP ALL UTIL P,GER
^NQCHLCAUD,NASDAQ Switzerland Large Cap AU,
^DWAPFN,Dow Jones Asia/Pacific Financia,DJI
ASX8350.L,,
3BSF.DE,DAXGL.CH.AL.EN+ENV.PR.USD,GER
^NQNA2000CADN,NASDAQ N America Inds CAD NTR I,
^NQEMEU3300CAD,NASDAQ EM Europe Auto & Parts C,
^YHOH800,^YHOH800,
SFC12T.SW,SBI For Corp AAA-AA T,EBS
^NQUSB3747AUDN,NQ US Bnchmk Toys AUD NTR Index,
^NQDMASPA2300LMN,NASDAQ DM ASPA Constr & Matls L,
RNEL.FGI,,
^NQASPA2300AUD,NASDAQ ASPA Constr & Matls AUD,
^NQDMASIA1700LMN,NASDAQ DM Asia Basic Resources,
^NQLA7000CAD,NASDAQ Lat America Utilities CA,
^NQPLLMAUDT,NASDAQ Poland Large Mid Cap AUD,
^NQCI3ACER,NASDAQ Commodity 3rd Front Agri,
WIPACXJA3350.FGI,,
^NQZA8000LMJPYN,NASDAQ South Africa Financials,
^NQNAMCAUD,NASDAQ N America Mid Cap AUD In,
^DJAU,Dow Jones Australia Index,DJI
^SPAU23,S&P Pan Asia BMI Real Estate (U,SNP
^NQDMASPASCCADT,NASDAQ DM ASPA Small Cap CAD TR,
SATXEUR.VI,,
^NQEM0001AUDN,NASDAQ Emerging Oil & Gas AUD N,
WIAMERS9530.FGI,,
^NQLA3000LMEUR,NASDAQ Lat Am Cnsmr Goods Lg Md,
^NQAT8000N,The NASDAQ Austria Financials I,
^NQUSS5370AUDN,NQ US Sm Cap General Rtlrs AUD,
4465.DE,,
^NQZASCGBPN,NASDAQ South Africa Small Cap G,
^NQNA1000LMJPY,NASDAQ N America Basic Matls Lg,
^DJCIAC,Dow Jones Commodity Index All C,DJI
^NQDMASPA8300N,The NASDAQ DM ASPA Banks Indexe,
3BQ6.DE,DAXGL CHINA EUR P,GER
